mode,nodes,rules,median_ns,min_ns,max_ns,alloc_calls,peak_usable_bytes
parse,100,0,38967,38188,44883,144,43128
parse,1000,0,405118,383277,411401,1054,405728
parse,10000,0,4084238,3987462,4243913,10065,3734304
headings,128,128,381027,374789,390325,7932,509776
headings,1024,128,3165790,3141238,3346664,20496,3474184
headings,4096,128,13744994,12096931,14194338,63516,13598560
headings,128,1024,2726980,2647718,2934019,49904,3503376
headings,128,4096,12844106,12076160,14347371,193780,13767960
sequence,128,128,272380,267039,288426,409,363424
sequence,1024,128,2342139,2179881,2440341,409,2849648
sequence,4096,128,10060660,9817733,10427744,409,11352944
sequence,128,1024,2384120,2281345,2656796,3097,2812760
sequence,128,4096,10240789,10151199,10908094,12313,11193176
sequence-recovery,128,128,289935,263265,303611,410,363424
sequence-recovery,1024,128,2198162,2132941,2280896,410,2849648
sequence-recovery,4096,128,9899689,9604913,10101590,410,11352944
sequence-recovery,128,1024,2254841,2187124,2353970,3098,2806640
sequence-recovery,128,4096,10171195,9834919,10381919,12314,11187024
json,100,0,377288,368596,384246,8469,566616
json,1000,0,4768375,4632613,5057388,84072,5569640
json,10000,0,75726637,71629200,79843576,840075,55072336
