mode,nodes,rules,median_ns,min_ns,max_ns,alloc_calls,peak_usable_bytes
parse,100,0,51281,46759,57612,257,46496
parse,1000,0,539508,526311,562534,3085,405728
parse,10000,0,5869928,5742968,6071487,31292,3796864
headings,128,128,431372,420436,614107,7942,792344
headings,1024,128,3837345,3672996,3992821,20509,5690064
headings,4096,128,16231582,15795438,17109380,63531,22449960
headings,128,1024,3262898,3249937,3394461,49917,5747928
headings,128,4096,15163721,14522454,15400228,193795,22746336
sequence,128,128,293049,288889,324125,408,629600
sequence,1024,128,2669702,2616062,2705798,408,4934448
sequence,4096,128,12180287,11554947,13002127,408,19680048
sequence,128,1024,2876154,2717513,2955476,3096,4926232
sequence,128,4096,12209727,11617837,12945577,12312,19647256
sequence-recovery,128,128,342366,327886,348763,409,629600
sequence-recovery,1024,128,2903158,2744692,3004569,409,4934448
sequence-recovery,4096,128,13155425,12697452,13536906,409,19680048
sequence-recovery,128,1024,3201590,3099295,4191463,3097,4920112
sequence-recovery,128,4096,13279767,13118157,15075282,12313,19616560
json,100,0,421073,397543,444693,12511,566728
json,1000,0,4382437,4199355,4485230,124114,5569752
json,10000,0,69897269,68744595,73821612,1240117,55072448
